Inventory;Fine particulate matter formation (kg PM2.5 eq);Fossil resource scarcity (kg oil eq);Freshwater ecotoxicity (kg 1,4-DCB);Freshwater eutrophication (kg P eq);Global warming (kg CO2 eq);Human carcinogenic toxicity (kg 1,4-DCB);Human non-carcinogenic toxicity (kg 1,4-DCB);Ionizing radiation (kBq Co-60 eq);Land use (m2a crop eq);Marine ecotoxicity (kg 1,4-DCB);Marine eutrophication (kg N eq);Mineral resource scarcity (kg Cu eq);Ozone formation, Human health (kg NOx eq);Ozone formation, Terrestrial ecosystems (kg NOx eq);Stratospheric ozone depletion (kg CFC11 eq);Terrestrial acidification (kg SO2 eq);Terrestrial ecotoxicity (kg 1,4-DCB);Water consumption (m3);Background data (Ecoinvent 3.8 database)
Decarbonised water;1,3438E-07;2,63526E-05;4,3373E-06;2,313E-07;8,23523E-05;4,04037E-05;0,000397769;1,34466E-05;2,54408E-06;5,89741E-06;2,07051E-07;2,32341E-07;2,12541E-07;2,15749E-07;4,28105E-11;3,2604E-07;0,000208005;0,001008536;market for water, decarbonised | water, decarbonised | APOS, S
Cadmium;0,009940364;1,058812929;3,625153683;0,004935629;3,97583228;1,619948928;133,1413141;0,719244981;-0,033743654;4,997293014;0,000301405;0,37408822;0,02116157;0,021317941;2,51897E-06;0,026811556;175,4822441;0,118284673;market for cadmium | cadmium | APOS, S
Sulfuric acid;0,002306027;0,06413775;0,224592455;0,000288237;0,163526808;0,044356355;4,231315704;0,01130502;0,000786088;0,292947328;9,14131E-06;0,014432102;0,001011326;0,001028943;1,10489E-07;0,007373182;25,59173944;0,01375925;market for sulfuric acid | sulfuric acid | APOS, S
Citric acid;0,012964465;1,32370153;0,388364943;0,001983815;6,124851499;0,327881842;8,499074903;0,204324359;0,849037537;0,502871955;0,001735941;0,02736994;0,016180162;0,01637675;1,37115E-05;0,036491672;40,66286025;0,190807651;market for citric acid | citric acid | APOS, S
Potassium hydroxide;0,005269219;0,728989528;0,150785121;0,001034903;2,666774006;0,18103502;3,205644152;0,215117646;0,058370788;0,199642646;7,94757E-05;0,011127625;0,0071715;0,007268755;1,07296E-06;0,010326848;14,24651573;0,025890488;market for potassium hydroxide | potassium hydroxide | APOS, S
Magnetite;0,001956344;0,245847602;0,071065842;0,000421276;0,919360465;0,079000041;1,421596829;0,100544551;0,020536676;0,093679686;3,94207E-05;0,008623643;0,002665305;0,002700235;6,96341E-07;0,003678018;6,670025528;0,015506641;market for magnetite | magnetite | APOS, S
Sodium chloride;0,000627462;0,066793306;0,036767627;0,000139659;0,272833361;0,03667071;0,687424383;0,023972935;0,008907485;0,048091427;3,93162E-05;0,00286727;0,00086483;0,000877535;1,13245E-07;0,001323565;3,342952012;0,004248847;market for sodium chloride, powder | sodium chloride, powder | APOS, S
Acetic acid;0,002874123;0,997779007;0,069995489;0,000502182;1,659805847;0,086198349;1,47790083;0,121484878;0,021597782;0,092820742;3,85395E-05;0,005023506;0,004160856;0,00443787;8,37447E-07;0,006069463;6,202780369;0,044141493;market for acetic acid, without water, in 98% solution state | acetic acid, without water, in 98% solution state | APOS, S
Hydrogen peroxide;0,002339664;0,465291881;0,086502676;0,000378883;1,539486634;0,194355639;1,952226767;0,057302222;0,013206198;0,115651782;0,000101212;0,004231865;0,003093656;0,003225913;4,46607E-07;0,004597147;6,617193078;0,075161438;market for hydrogen peroxide, without water, in 50% solution state | hydrogen peroxide, without water, in 50% solution state | APOS, S
Lead;0,006763514;0,536816379;1,041407009;0,00149934;2,141662404;1,403365953;47,20806912;0,147948262;0,025052021;1,420869895;0,000117217;0,218124137;0,006129224;0,006295768;8,20519E-07;0,016567748;56,02351229;0,030012257;market for lead | lead | APOS, S
Ammonium sulfate;0,004064634;0,330725267;0,57706186;0,000910685;1,277291224;0,259451666;15,59830277;0,094564684;0,016400994;0,772134299;0,000656751;0,062282523;0,004432725;0,004528542;4,67338E-07;0,012518232;63,07390358;0,02652932;market for ammonium sulfate | ammonium sulfate | APOS, S
Sodium sulfate;0,002150591;0,155173091;0,134972291;0,000314561;0,587274005;0,065353827;2,603056167;0,03339992;0,037830801;0,176728399;3,6164E-05;0,009833029;0,002060885;0,00209094;2,5539E-07;0,005702407;14,82009689;0,017238994;market for sodium sulfate, anhydrite | sodium sulfate, anhydrite | APOS, S
Phenol;0,004286229;1,776732888;0,084037902;0,000653909;3,280374893;0,121932501;1,801758833;0,090042525;0,020109809;0,108736401;4,86721E-05;0,005519468;0,007056622;0,007763051;4,97615E-07;0,009178339;7,265780323;0,045638892;market for phenol | phenol | APOS, S
Acetone;0,003198343;1,458791221;0,052114626;0,000370671;2,630782358;0,075092898;1,117361609;0,031125804;0,009590282;0,06910401;2,26277E-05;0,00363902;0,006717828;0,007672168;2,61781E-07;0,008856453;5,585567323;0,028122352;market for acetone, liquid | acetone, liquid | APOS, S
Ammonia;0,002509639;0,893998141;0,065422879;0,000745154;3,337148353;0,10073025;1,759276024;0,033837979;0,025438827;0,087457915;8,84795E-05;0,006038037;0,004375013;0,004479257;3,92933E-07;0,006912991;4,939332636;0,057786414;market for ammonia, anhydrous, liquid | ammonia, anhydrous, liquid | APOS, S
Titanium dioxide;0,016261077;1,640043853;0,490634673;0,002528745;6,759022037;0,334230168;10,9855407;0,227802251;-0,105778774;0,651570823;0,000406754;0,878643034;0,017535992;0,01774516;2,42225E-06;0,041129316;36,22116744;0,118829534;market for titanium dioxide | titanium dioxide | APOS, S
Calcium chloride;0,001960622;0,153771179;0,073366364;0,000312219;0,731700996;0,069136281;1,549677142;0,026161492;0,04120492;0,096571513;5,37496E-05;0,005707114;0,002202779;0,002230245;2,18579E-07;0,006312967;6,393334202;0,024217389;market for calcium chloride | calcium chloride | APOS, S
Zinc oxide;0,00129414;0,264862536;0,086258356;0,000263907;0,854451922;0,086361167;4,757979967;0,057967322;0,02478025;0,156606152;2,48805E-05;0,005672272;0,002051138;0,00210075;3,49954E-07;0,002667095;63,06338602;0,004567948;market for zinc oxide | zinc oxide | APOS, S
Potassium chloride ;0,000875419;0,143064669;0,050019341;0,000153823;0,448263941;0,053824111;0,883374792;0,020226766;0,018667189;0,066025391;1,18177E-05;0,004567004;0,001764526;0,001797091;2,45946E-07;0,002005777;5,697165061;0,008848319;market for potassium chloride | potassium chloride | APOS, S
Calcium carbonate;0,000735394;0,116511924;0,035356043;9,6188E-05;0,398339184;0,034029794;0,637433791;0,015604964;0,008723436;0,046492529;8,53575E-06;0,00567947;0,001377186;0,001403418;1,5106E-07;0,001808849;4,030194223;0,005085477;market for calcium carbonate, precipitated | calcium carbonate, precipitated | APOS, S
Stearic acid;0,003489278;0,198614231;0,048386987;0,00035783;1,544043283;0,180046956;0,708109917;0,039342808;1,025466031;0,063352617;0,001690897;0,009203699;0,003269882;0,003352651;6,05667E-06;0,014834023;4,816562217;0,045000417;market for stearic acid | stearic acid | APOS, S
Glucose;0,002905224;0,345009748;0,09096311;0,000445222;1,325279273;0,092446489;0,375626049;0,080083842;0,682269154;0,113709106;0,001243322;0,007463522;0,003189117;0,003248745;5,46889E-06;0,01100481;8,993179425;0,029146898;market for glucose | glucose | APOS, S
Terephthalic acid;0,002195598;1,190148763;0,05373039;0,000273091;2,057778216;0,09356653;1,183070004;0,055103464;0,014680895;0,072697575;6,65263E-05;0,007235121;0,004077219;0,004313964;2,24414E-05;0,005411235;7,926573059;0,028028757;market for purified terephthalic acid | purified terephthalic acid | APOS, S
Activated carbon;0,006014764;0,833247681;0,073970917;0,001449885;3,130105183;0,163125054;2,81980034;0,176796467;0,02420963;0,10123948;9,88866E-05;0,004610833;0,007484325;0,007557884;7,70826E-07;0,015621947;4,463964585;1,637379304;market for activated carbon, granular | activated carbon, granular | APOS, S
Zirconium oxide;0,007312214;0,881181639;0,194696428;0,001708167;3,359769821;0,251393638;4,42757766;0,263747952;-0,348864629;0,258174865;0,000185278;0,672005326;0,011441084;0,011570617;2,79808E-06;0,015510403;16,26500944;0,103472434;market for zirconium oxide | zirconium oxide | APOS, S
Formaldehyde;0,001260016;0,849068773;0,040867056;0,000174404;1,036931856;0,049595967;0,754215692;0,027758269;0,010484486;0,054331727;1,40015E-05;0,003511604;0,002626635;0,002739738;4,76747E-07;0,003100782;3,841799237;0,006005348;market for formaldehyde | formaldehyde | APOS, S
Cerium oxide;0,027088917;3,419778769;2,79054513;0,006457024;15,07080639;1,132230769;97,49322153;0,844720702;-0,674954675;3,580952572;0,05337301;2,2892165;0,044394387;0,044933238;8,0488E-06;0,060584424;102,6718218;0,136312622;market for cerium oxide | cerium oxide | APOS, S
Sodium phosphate;0,008902043;0,490295602;0,459847057;0,002086698;2,853827942;1,202084093;9,473176969;0,085687461;0,347373252;0,61263936;7,99507E-05;0,071394783;0,006119002;0,006220946;7,32952E-07;0,026841002;44,92692239;0,134455457;market for sodium phosphate | sodium phosphate | APOS, S
Ascorbic acid;0,007622754;0,95468571;0,203209034;0,001270488;3,515475884;0,197636768;3,628504814;0,260511314;0,757064191;0,259987179;0,001395498;0,021523256;0,008632712;0,008776055;6,74238E-06;0,021677571;15,17225283;0,051463136;market for ascorbic acid | ascorbic acid | APOS, S
Copper oxide;0,105842232;2,048824985;28,47470998;0,034648463;7,322766587;3,299811809;419,2246611;1,44139537;-0,079321362;36,39698501;0,001177032;1,295103945;0,055448837;0,056487615;9,42725E-06;0,32691143;2527,403968;0,22078202;market for copper oxide | copper oxide | APOS, S
